date, LordAro, _46, Taneb, bjs, icydoge, liamfraser, Speed`, sdhand, ddm, nitia, is_term_time
2013-10-07, 9, 0, 6, 0, 0, 0, 16, 0, 0, 0, 1
2013-10-08, 46, 13, 4, 0, 0, 0, 74, 0, 0, 0, 1
2013-10-09, 130, 8, 119, 0, 0, 0, 112, 0, 0, 0, 1
2013-10-10, 36, 8, 47, 0, 0, 0, 73, 0, 0, 0, 1
2013-10-11, 24, 23, 53, 0, 0, 0, 22, 0, 0, 0, 1
2013-10-12, 87, 27, 66, 0, 0, 0, 52, 0, 0, 0, 1
2013-10-13, 60, 10, 8, 0, 0, 0, 32, 0, 0, 0, 1
2013-10-14, 33, 44, 17, 0, 0, 0, 61, 0, 0, 0, 1
2013-10-15, 56, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1
2013-10-16, 46, 38, 129, 0, 0, 0, 0, 0, 0, 0, 1
2013-10-17, 55, 41, 73, 0, 0, 0, 0, 0, 0, 0, 1
2013-10-18, 116, 97, 124, 0, 0, 0, 4, 0, 0, 0, 1
2013-10-19, 53, 22, 35, 0, 0, 0, 3, 0, 0, 0, 1
2013-10-20, 22, 16, 38, 0, 0, 0, 1, 0, 0, 0, 1
2013-10-21, 9, 32, 28, 0, 0, 0, 2, 0, 0, 0, 1
2013-10-22, 2, 41, 25, 0, 0, 0, 28, 0, 0, 0, 1
2013-10-23, 89, 34, 32, 0, 0, 0, 4, 0, 0, 0, 1
2013-10-24, 24, 19, 22, 0, 0, 0, 0, 0, 0, 0, 1
2013-10-25, 25, 5, 56, 0, 0, 0, 0, 0, 0, 0, 1
2013-10-27, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1
2013-10-28, 51, 23, 48, 0, 0, 0, 0, 0, 0, 0, 1
2013-10-29, 20, 15, 36, 0, 0, 0, 4, 0, 0, 0, 1
2013-10-30, 12, 14, 12, 0, 0, 0, 0, 0, 0, 0, 1
2013-10-31, 31, 27, 27, 0, 0, 0, 6, 0, 0, 0, 1
2013-11-01, 67, 48, 28, 0, 0, 0, 19, 0, 0, 0, 1
2013-11-02, 28, 3, 15, 0, 0, 0, 0, 0, 0, 0, 1
2013-11-03, 49, 9, 16, 0, 0, 0, 1, 0, 0, 0, 1
2013-11-04, 30, 17, 38, 0, 0, 0, 0, 0, 0, 0, 1
2013-11-05, 38, 31, 59, 0, 0, 0, 4, 0, 0, 0, 1
2013-11-06, 46, 37, 73, 0, 0, 0, 32, 0, 0, 0, 1
2013-11-07, 53, 22, 13, 0, 0, 0, 6, 0, 0, 0, 1
2013-11-08, 62, 31, 74, 0, 0, 0, 93, 0, 0, 0, 1
2013-11-09, 100, 10, 60, 0, 0, 0, 29, 0, 0, 0, 1
2013-11-10, 20, 4, 12, 0, 0, 0, 27, 0, 0, 0, 1
2013-11-11, 24, 3, 55, 0, 0, 0, 10, 0, 0, 0, 1
2013-11-12, 29, 18, 61, 0, 0, 0, 61, 0, 0, 0, 1
2013-11-13, 95, 25, 63, 0, 0, 0, 1, 0, 0, 0, 1
2013-11-14, 44, 5, 33, 0, 0, 0, 0, 0, 0, 0, 1
2013-11-15, 80, 26, 100, 0, 0, 0, 12, 0, 0, 0, 1
2013-11-16, 26, 20, 89, 0, 0, 0, 14, 0, 0, 0, 1
2013-11-17, 114, 17, 171, 0, 0, 0, 34, 0, 0, 0, 1
2013-11-18, 117, 26, 120, 0, 0, 0, 4, 0, 0, 0, 1
2013-11-19, 24, 8, 57, 0, 0, 0, 14, 0, 0, 0, 1
2013-11-20, 52, 22, 23, 0, 0, 0, 6, 0, 0, 0, 1
2013-11-21, 91, 29, 59, 0, 0, 0, 86, 0, 0, 0, 1
2013-11-22, 126, 13, 137, 0, 0, 0, 130, 0, 0, 0, 1
2013-11-23, 206, 13, 90, 0, 0, 0, 180, 0, 0, 0, 1
2013-11-24, 242, 53, 35, 0, 0, 0, 110, 0, 0, 0, 1
2013-11-25, 193, 5, 72, 0, 0, 0, 103, 0, 0, 0, 1
2013-11-26, 61, 34, 59, 0, 0, 0, 37, 0, 0, 0, 1
2013-11-27, 134, 74, 112, 0, 0, 0, 95, 0, 0, 0, 1
2013-11-28, 59, 47, 47, 0, 0, 0, 96, 0, 0, 0, 1
2013-11-29, 56, 26, 77, 0, 0, 0, 86, 0, 0, 0, 1
2013-11-30, 76, 15, 41, 0, 0, 0, 47, 0, 0, 0, 1
2013-12-01, 146, 38, 79, 0, 0, 0, 1, 0, 0, 0, 1
2013-12-02, 145, 33, 114, 0, 0, 0, 234, 0, 0, 0, 1
2013-12-03, 179, 98, 107, 0, 0, 0, 104, 0, 0, 0, 1
